ID;Количество комнат;Тип;Метро;Адрес;Площадь, м2;Дом;Парковка;Цена;Телефоны;Описание;Площадь комнат, м2;Балкон;Окна;Санузел;Название ЖК;Высота потолков, м;Лифт;Мусоропровод;Ссылка на объявление
329703233;1;Продажа квартиры в новостройке;м. Лужники (14 мин пешком);Москва, Коллекция Лужники ЖК;55.0/20.0/22.0;3/17;;74250000 руб., Договор уступки права требования;+79197224532;"В клубном доме ""Хайлайн 2""  проекта премиум- класса  ""КОЛЛЕКЦИЯ ЛУЖНИКИ"" в  престижном районе Хамовниках, в частном парке на берегу Москва-реки у входа в легендарный олимпийский комплекс ""Лужники""  продаётся квартира  с 1-спальней  площадью 55,0  м2 на 3 этаже.

Ваша квартира: 
- Высота потолка - 3,25 м
- Мастер-спальня с гардеробной и ванной комнатой
- Гостиная, холл, гардеробная 
-2 окна в квартире.  Вид в сторону СИТИ
Квартира передается без отделки. Срок сдачи 4 квартал 2026 г.  
 
Клубный дом Хайлайн 2 КОЛЛЕКЦИЯ ЛУЖНИКИ: 
- 5 минут пешком до ОК ""Лужники""
- Дом в глубине частного парка
- Просторные лобби площадью 150-200 м2 с панорамными окнами и высотой потолка 8 м
- Парадные лобби выполнены в стилистике современного урбанизма симбиоз элегантной классики и сдержанного урбанизма
- Изолированная зона на этаже для технических служб и сбора мусора
- Три уровня входа в дом: лобби на уровне сада, парадное лобби на -1 этаже, дизайнерское лобби на уровне паркинга
- Аминитис на -1 и 1 этаж ..., 11 фото";;;;Раздельный (1);КОЛЛЕКЦИЯ ЛУЖНИКИ, Корпус - HL2, Срок сдачи (год, квартал) - 2026, Четвертый;3.25;;;https://www.cian.ru/sale/flat/329703233
325062213;1;Продажа квартиры в новостройке;м. Павелецкая (5 мин пешком);Москва, Летниковская улица, 2;43.7/12.7/16.2;8/20, Монолитный;;36000000 руб., Договор уступки права требования, Возможна ипотека;+79856582542;"СРОЧНАЯ ПРОДАЖА! 
Предлагается Вашему внимаю 1-к квартира свободной планировки. Не апартаменты! без обременений! Быстрый выход на сделку! Ключи в процессе получения!
Жилой комплекс Voxhall (Воксхолл) - новый проект бизнес-класса от группы компаний Эталон, который находится в ЦАО столицы на Летниковской улице. Уникальное расположение -один из многочисленных плюсов комплекса: в пешей доступности метро Павелецкая, вся уже давно сложившаяся инфраструктура района, парки и набережные, а также остановка Аэроэкспресса в аэропорт Домодедово. 
Инфраструктура
Резидентам будут доступны инфраструктура первых этажей (пекарни, магазины, рестораны, фитнес и прочее) и собственный детский сад. Для автомобилей — подземный паркинг.
Ближайшая школа находится в 13 минутах ходьбы от ЖК, это основное здание школы 1553 им. Вернадского на Дербеневской улице. Буквально в 10 минутах ходьбы расположен крупный ТЦ ""Павелецкая Плаза"" со множеством магазинов, включая супермаркет ""Перекресток"", кафе и ресторанами. Над  ..., 13 фото";12.7;;На улицу;Совмещенный (1);Воксхолл, Корпус - Корпус 2, Срок сдачи (год, квартал) - 2025, Четвертый;;Пасс (2);;https://www.cian.ru/sale/flat/325062213
331369425;1;Продажа квартиры в новостройке;м. Белорусская (10 мин пешком);Москва, улица Пресненский Вал, 27к3;62.0/14.0/14.0;17/33;;56700000 руб., Договор уступки права требования;+79862641415;"ID: 243380

Продаётся по переуступке прав
Видовая квартира 62,20 м² с террасой в 
ЖК премиум-класса Republic 
Корпус ПЛАТИНУМ 

Кухня 14м², отдельная спальня 13,80м², совмещенный  просторный санузел 6,46м2, гардеробная 3,30м2, терраса 6,75м2, К=0,5. 
Панорамные окна с видом на Белый дом.

О проекте:
ЖК находится в Пресненском районе.
ПРЕСНЯ - один из самых привлекательных и обжитых районов Москвы с престижной социальной инфраструктурой.
Жизнь в Republic — это сочетание исторической локации и современного комфорта премиум-класса. 
На территории проекта расположен фитнес с водо-термальным комплексом, гастрономы, рестораны, салоны- красоты, пространство для детей и спорта,  места для выгула животных.
 
До метро ""Белорусская"" — 8 минут пешком.
Подробнее по телефону!
Квартира без обременений!
Звоните!, 8 фото";14;;;Совмещенный (1);Репаблик;3.1;;;https://www.cian.ru/sale/flat/331369425
328325585;1;Продажа квартиры в новостройке;м. Давыдково (24 мин пешком);Москва, Верейская улица, 41С9;45.0/34.0/6.0;13/14, Монолитно-кирпичный;подземная;31890000 руб., Договор уступки права требования;+79367092941;"Квартира с одной спальней площадью 45 м² в комплексе бизнес-класса ""Верейская, 41"". Квартира расположена на 13 этаже первой секции корпуса 4.2 и полностью готова к проживанию.

Интерьер выполнен в светлой современной палитре с отделкой от застройщика. Установлены кухонный гарнитур и сантехника. Планировка включает кухню-гостиную, спальню, ванную комнату и прихожую. Панорамное остекление и потолки высотой 3 метра наполняют пространство естественным светом, создавая ощущение объёма и комфорта. Из окон открываются приятные виды на парк и зелёное окружение квартала.

Квартира станет отличным выбором для тех, кто ищет современное пространство с готовой отделкой, панорамными окнами и видами на парк в одном из самых перспективных районов западной Москвы. 
Начался старт выдачи ключей.

Комментарий эксперта. Меня зовут Оксана Гусева — брокер компании Whitewill. Я отвечаю за продажу этого лота. Свяжитесь со мной, чтобы получить расширенную презентацию, больше фотографий или договориться о просмо ..., 19 фото";;;Во двор;;Верейская 41, Корпус - Корпус 1, Срок сдачи (год, квартал) - 2026, Третий;3.0;Пасс (2);;https://www.cian.ru/sale/flat/328325585
329514579;1;Продажа квартиры в новостройке;м. Тушинская (5 мин пешком);Москва, Ситидзен ЖК, к1;33.0/13.0;31/48, Монолитно-кирпичный;;18300000 руб., Договор уступки права требования;+79804031533;"Номер в базе: 11953226.

 Продается уютная 1-комнатная квартира в жилом комплексе CITYZEN на 31-м этаже корпуса #6 блока VOLNA. Общая площадь квартиры составляет 33 кв. м. 

Квартира включает в себя просторную кухню-гостиную площадью 13.9 кв. м с комфортными зонами для обедов и отдыха, а также один совмещенный санузел. Панорамные окна в пол открывают живописный вид на реку Сходня, наполняя пространство светом и создавая атмосферу уюта.

В лобби корпуса #1 урбан-блока PARUS вы найдете:
1. Grand-лобби с зоной отдыха
2. Лапомойка
3. Переговорная
4. Коворкинг
5. Постаматы
6. Почту
7. Колясочную
8. Лифтовой холл
9. Санузел
10. Комнату консьержа с санузлом

CITYZEN — это мини-город с развитой инфраструктурой, где все необходимое находится в шаговой доступности: супермаркеты, кофейни, салоны красоты, фитнес-центры и многое другое. Дизайн лобби вдохновлен французскими интерьерами 1960-х годов, создавая атмосферу премиального резорта.

Территория комплекса благоустроена с учетом максимальной бл ..., 10 фото";;;;;СИТИДЗЕН, Корпус - Парус 4, Срок сдачи (год, квартал) - 2027, Третий;2.75;;;https://www.cian.ru/sale/flat/329514579
331457853;1;Продажа квартиры в новостройке;м. Крылатское (20 мин пешком);Москва, Крылатская улица;50.7/14.5/18.4;3/11, Монолитный;;29500000 руб., Договор уступки права требования, Возможна ипотека;+79339367284;"Арт. 94983694. Самый доступный вариант 1-комнатной квартиры в ЖК Крылатская 33
Уступка от физлица в низкоэтажной секции С6.
икаких 150-метровых труб, автосалонов и старого фонда в окнах вашей будущей премиальной квартиры - вид на восходящий зеленый бульвар и храм. Много солнца в течение дня (окна на юг). Всего 11 этажей в корпусе.
Прекрасный вариант как ""для себя"", так и в качестве инвестиции для последующей продажи
О комплексе: преимущества закрытого клубного дома с премиальной инфраструктурой, утопающий в зелени район города, близость к ключевым городским пространствам
На территории: подземный паркинг, ресторан высокой кухни, детский сад и эко-маркет; доступ к wellness-центру, коворкингу и клубной гостиной только для резидентов
Локация: сформировавшийся в позднесоветское время район со всей необходимой для жизни инфраструктурой, который еще долго не будет массово застраиваться новостройками. Район со всех сторон окружен лесопарками, много возможностей для здорового отдыха (горнолыжны ..., 11 фото";;;На улицу;Совмещенный (1);Клубный квартал Крылатская 33, Корпус - Секции 1, Срок сдачи 2027;3.0;Пасс (1);;https://www.cian.ru/sale/flat/331457853
329409664;1;Продажа квартиры в новостройке;м. Коммунарка (7 мин на машине);Москва, улица Разведчика Дейча, ш. Калужское (2 км до МКАД), ш. Варшавское (10 км до МКАД);36.9/22.0/6.6;5/18, Монолитный;наземная;13000000 руб., Договор уступки права требования, Возможна ипотека;+79153240941;Один взрослый собственник. Уступка прав, сроки сдачи 3 квартал 2026 года. Материнский капитал не использовался. Свободная продажа. Новая Москва, рядом две станции метро Коммунарка и Корниловская., 3 фото;;;Во двор;Раздельный (1);Форевиль, Корпус - Essence, Срок сдачи (год, квартал) - 2026, Третий;;Пасс (1), Груз (1);;https://www.cian.ru/sale/flat/329409664
326729726;1;Продажа квартиры в новостройке;м. Рижская (17 мин пешком);Москва, улица Сокольнический Вал, 2АС1;31.11/14.0/5.3;24/49, Монолитный;;16800000 руб., Договор уступки права требования, Возможна ипотека;+79851041348;"Арт. 129889973 Продаётся 1-комнатная квартира в жилом комплексе бизнес-класса SOLOS вблизи парка Сокольники. 
Дом сдаётся в 4 квартале 2029 года. 
Расположение: 
2 минуты пешком до парка ""Сокольники""
удобный выезд на Третье транспортное кольцо
метро ""Сокольники"" в пешей доступности. 
Высота потолков — 3,2 метра. Квартира с большими окнами в пол, выходящими на юго-восточную сторону, что делает квартиру более светлой и октрывает вид на город и парк.
Закрытая территория с фонтаном и артобъектами, детскими и спортивными площадками, ресторанами, подземным паркингом и коворкингом. Безопасность обеспечивается современными системами доступа и видеонаблюдения., 16 фото";14;;На улицу;Совмещенный (1);Солос, Корпус - Башня Б, Срок сдачи (год, квартал) - 2029, Четвертый;3.2;Пасс (3);;https://www.cian.ru/sale/flat/326729726
331809648;1;Продажа квартиры в новостройке;м. Грачёвская (17 мин пешком);Москва, Бусиновский Парк ЖК, к22.3;36.7/15.6;18/32, Панельный;;15900000 руб., Договор уступки права требования;+79168159685;"Номер в базе: 13354551.

 ГАРАНТИЯ БЕЗОПАСНОЙ СДЕЛКИ! ЗВОНИТЕ!

Продается отличный вариант для инвестиции (перепродажа и аренда), а также для самостоятельного проживания! Однокомнатаня квартира 36,7 кв.м в новом ЖК серии ПИК+ Бусиновский парк. Квартира расположена на 18 этаже, откуда открывается отличный обзор.

о квартире:
- корпус 22.3
- заселение до 28 февраля 2027 года
- высота потолков 2.66 м
- готовая чистовая отделка от застройщика 
(останется только расставить мебель)

Окна в пол визуально делают комнаты просторнее и пропускают много естественного света: с ними в квартире будет светло даже в пасмурные дни.

В квартире подготовлено всё для комфортного проживания: натяжной потолок, качественный ламинат, обои под покраску с лаконичной фактурой. Также установлены межкомнатные двери и входные двери с дополнительной шумоизоляцией. 

Предусмотрены внутрипольные конвекторы. Все трубы будут скрыты в полу и стенах, а отсутствие радиаторов позволит реализовать необычные дизайнерские идеи
 ..., 13 фото";;Балкон (1);;;Бусиновский парк, Корпус - Корпус 22.3, Срок сдачи (год, квартал) - 2026, Четвертый;2.66;;;https://www.cian.ru/sale/flat/331809648
331569375;1;Продажа квартиры в новостройке;м. Спартак (14 мин пешком);Москва, Холланд Парк ЖК, к8;33.1/9.2/16.0;20/24, Монолитный;подземная;19100000 руб., Договор уступки права требования, Возможна ипотека;+79684734566;"Код объекта: 2191404.
Продается видовая 1 ккв у метро Спартак в жилом комплексе - ХОЛЛАНД ПАРК !
Лучшая цена, выгодное предложение и высокая ликвидность объекта!
У застройщика таких квартир не осталось !
Выдача ключей до 30 июля 2026.

ПРЯМОЙ ВИД В СТОРОНУ МОСКВА РЕКИ!
Панорамный вид в сторону Москва реки и Строгинского Затона !
ХОЛЛАНД ПАРК - проект улучшенной серии, расположенный в лучшей локации на Северо Западе Столицы в 3 минутах ходьбы от метро Спартак и 3 минутах ходьбы до набережной Москва Реки!

ОПЕРАТИВНЫЙ ВЫХОД НА СДЕЛКУ! ДОКУМЕНТЫ ГОТОВЫ! 

По документам: Первичный ДДУ от застройщика. Один взрослый продавец. Свободная продажа. Возможно приобретение в ипотеку. Подходит под ипотеку любого банка!

МАТ КАПИТАЛ - НЕ ИСПОЛЬЗОВАЛСЯ.

Без обременений.
Объект реальный !

Метро Спартак - 3 минуты пешком!
До Центра - Метро Баррикадная - всего 15 минут на метро без пересадок !
До Пушкинской и Кузнецкого Моста - 17 - 20 минут по прямой без пересадок!
Удобные выезды и транспортное сообще ..., 32 фото";9,2;;На улицу;Совмещенный (1);Холланд парк, Корпус - Николая Озерова, 7к1 (Корпус 8), Срок сдачи (год, квартал) - 2026, Первый;3.02;Пасс (2), Груз (1);;https://www.cian.ru/sale/flat/331569375
